,0,1,2,3
"[0.0, 300.0]",-5.103425348600315,-5.1805001439584135,-5.150098886510604,-5.208761320144797
"[0.0, 240.0]",-2.793146016101493,-2.836301348919604,-2.8609632440983668,-2.8294846103335693
"[60.0, 300.0]",-10.640162234585752,-10.484179204289589,-10.371709685486522,-11.022037268269324
"[60.0, 240.0]",-13.797297004699542,-10.360770824349606,-15.019853858820388,-10.88880155151249
"[120.0, 240.0]",-17.549442725670644,-9.498528004357127,-24.54898049458932,-9.078020138880367
terminal,0.0,0.0,0.0,0.0
"[120.0, 300.0]",-13.906512296026762,-11.922834420403024,-12.058319903245422,-9.660782695166198
"[180.0, 300.0]",-15.676881408185151,-9.923767811552786,-9.078033119088627,-8.937653891259354
"[0.0, 180.0]",-1.5598158715500852,-1.2755047056757467,-1.1675256877787217,-1.1798510294109439
"[0.0, 120.0]",-0.5738698192775328,-0.33033595141035044,-1.1060522563918291,-0.47483455361480176
"[60.0, 180.0]",-12.300261431371016,-9.414052728134344,-12.692693918398747,-11.27791120236802
"[240.0, 300.0]",-5.7685806183193495,-4.916736328019039,-5.433143284547956,-4.810002553249436
"[240.0, 240.0]",-2.083332647915469,-2.9540856364017847,-2.377272710537493,-2.073803477340481
"[300.0, 240.0]",-1.0346980874080056,-2.0720910513293953,-1.420621197301073,-0.7034419380480847
"[240.0, 180.0]",-1.0438266969194323,-0.8759182453343346,-0.3984988869982124,-0.7116711204955741
"[180.0, 180.0]",-0.8662606425871281,0.0,0.0,0.0
"[180.0, 120.0]",0.0,0.0,-1.0571119044285522,0.0
"[300.0, 180.0]",-0.854453507414774,-0.4796282555533485,0.0,-0.39864039186208106
"[300.0, 120.0]",0.0,0.0,0.0,-1.0425351943392278
"[0.0, 60.0]",0.0,0.0,-0.6961355793549787,0.0
"[60.0, 60.0]",0.0,0.0,-1.033433286625483,-0.8470809621666405
